"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000154734",5411.46919346858,-1.46466061183346,0.0790201281650245,-18.5352851968891,1.07219825236256e-76,1.39310718929467e-72
"ENSG00000185745",3792.4946930904,1.46064307313759,0.0790518507314381,18.4770256435844,3.16135688404469e-76,2.05377549971963e-72
"ENSG00000107201",2388.35769051613,1.20806418697606,0.0788611545147104,15.3188752359784,5.71987364636567e-53,2.47727727624097e-49
"ENSG00000143878",2763.83186049161,-1.19784061473563,0.0808477600082225,-14.8160025041362,1.15453825948268e-49,3.75022890136461e-46
"ENSG00000124225",2774.31560801821,-1.31849050292471,0.0922047935682589,-14.2995873847777,2.20110708937664e-46,5.71979688245414e-43
"ENSG00000119917",2298.04590391484,1.18649668098477,0.086997364065661,13.6383060995879,2.37001818804405e-42,5.13227438620938e-39
"ENSG00000157557",6688.53844652568,-0.837525746010984,0.0623642962505967,-13.4295710264344,4.0575509598329e-41,7.53139423158698e-38
"ENSG00000162892",472.596698456568,-1.7174905332217,0.132629224999773,-12.9495632144773,2.36294672084728e-38,3.52974772211659e-35
"ENSG00000117289",3722.79803649706,1.25495041288201,0.0969302513643836,12.9469427265215,2.44498803194407e-38,3.52974772211659e-35
"ENSG00000137959",1571.32483910533,1.07143989738712,0.0843296074318573,12.7053822496791,5.51990526565534e-37,7.17201291166598e-34
"ENSG00000134326",508.645679271444,1.35762489488076,0.112615257682348,12.0554259060543,1.8159137427613e-33,2.14492429633615e-30
"ENSG00000113369",399.405603579207,1.82230514016796,0.157325722012151,11.5830082764674,5.02511092111434e-31,5.44093884983655e-28
"ENSG00000134321",417.673924302643,1.76385058428921,0.152485804724757,11.5673100684555,6.03450273666975e-31,6.03125338904231e-28
"ENSG00000120738",215.725083623608,2.0943937419364,0.183306692014553,11.4256261946515,3.11402767915866e-30,2.89004011680775e-27
"ENSG00000137193",2034.60520434123,0.865527261222065,0.0786865307727121,10.9996876558475,3.83457792898297e-28,3.32151140208505e-25
"ENSG00000170345",904.645537925218,1.23719610260409,0.115954287573222,10.6696882754149,1.41098947069077e-26,1.14581163704282e-23
"ENSG00000172331",938.622131342402,-0.978797308641765,0.0948578551703555,-10.318568840545,5.80824418114987e-25,4.4392068615106e-22
"ENSG00000118515",3048.55630065989,-0.952723882761375,0.0956141008953497,-9.96426127359748,2.18492079314569e-23,1.57714865918566e-20
"ENSG00000143507",435.545542861429,-1.20697689814006,0.123102527297012,-9.80464759450442,1.07521654567205e-22,7.35278346206155e-20
"ENSG00000157601",18833.1808010716,0.708805995526979,0.0732207244573752,9.68040129047897,3.65279382686169e-22,2.37303750962069e-19
"ENSG00000158055",1139.09396397814,0.971817386987007,0.101488346665405,9.57565492904302,1.01213762647887e-21,6.26224008611427e-19
"ENSG00000152778",2300.21453119488,0.70030142612334,0.074993237810613,9.33819430349003,9.79909640330636e-21,5.78725725309816e-18
"ENSG00000145990",1646.86497471727,-0.646098010296038,0.0752568445119331,-8.5852391830432,9.06476338448261e-18,5.12080307193837e-15
"ENSG00000146373",2534.82332626468,-0.635551734556318,0.0744476997399169,-8.53688880619036,1.37884128097305e-17,7.46470198486783e-15
"ENSG00000051108",711.897716834752,-0.852699567572833,0.100033585759089,-8.5241327810281,1.53958933947026e-17,8.00155371509481e-15
"ENSG00000198142",4270.6659444826,-0.532427539886718,0.0631947395192306,-8.42518766494316,3.60172508065165e-17,1.7998928451118e-14
"ENSG00000067082",5062.59038439045,-0.778066444015578,0.0927234498967931,-8.39125857462825,4.80965177879515e-17,2.31451131710687e-14
"ENSG00000141579",759.886651661593,1.11807017875468,0.134422988084927,8.31755189111181,8.97987838497505e-17,4.16698428057074e-14
"ENSG00000184254",3191.17188447557,0.827862267671921,0.10060749867083,8.22863383554081,1.89360652208099e-16,8.47170943762135e-14
"ENSG00000106366",7418.27013171881,-0.766472519298985,0.0932272508022798,-8.22155016589036,2.00889440852361e-16,8.47170943762135e-14
"ENSG00000159216",1015.05371324623,-0.964847513711754,0.117366420476867,-8.2208140095908,2.02126523948481e-16,8.47170943762135e-14
"ENSG00000120875",7338.93169006505,-0.566574593616636,0.069500101047868,-8.15214057352822,3.57538337658596e-16,1.45171738162442e-13
"ENSG00000187498",2263.67307390881,-0.569563785174252,0.0705280623511456,-8.07570442441058,6.70882110171039e-16,2.64144583559161e-13
"ENSG00000100234",3113.87880025997,-0.698237932415932,0.0869924647440873,-8.02641854636484,1.00359413807856e-15,3.83520548119258e-13
"ENSG00000135048",1955.58913701366,-0.62364907638155,0.0778029933654511,-8.01574655941818,1.09470027766237e-15,4.06384020219062e-13
"ENSG00000143367",2869.45039512367,-0.551116141196703,0.0691129255266273,-7.97413996003358,1.53445573482694e-15,5.53810648961289e-13
"ENSG00000177409",533.693499146116,0.908175041311437,0.11411421836904,7.95847401219052,1.74173968959398e-15,6.11633075321475e-13
"ENSG00000073712",934.269071092397,-0.715383296274755,0.0908154354307345,-7.87733156683902,3.34446568429711e-15,1.14354322726506e-12
"ENSG00000169515",702.899799667421,0.757783298830343,0.0967900327376765,7.82914601221504,4.9119492396226e-15,1.63643478129273e-12
"ENSG00000111859",258.021546626234,-1.39864156503847,0.179506581244471,-7.79158934085906,6.61714991771589e-15,2.14941572202206e-12
"ENSG00000142178",1967.76456043403,-0.759662378674629,0.0990067548124923,-7.67283383960361,1.68237368554955e-14,5.33148324301105e-12
"ENSG00000059804",3343.489286523,0.593130325400205,0.0775445106038783,7.64890152483005,2.02703390887011e-14,6.27077418522604e-12
"ENSG00000089127",2451.25152769726,0.688618535955051,0.0901949231504074,7.63478155867734,2.26203624977438e-14,6.83503185891129e-12
"ENSG00000135679",4397.35514352084,0.61984001330141,0.0818695658681173,7.57106754785903,3.70169499665508e-14,1.0930937066259e-11
"ENSG00000073756",13684.885699974,-0.494935689434851,0.0663801230852474,-7.45608273126037,8.91327897323061e-14,2.56476642706898e-11
"ENSG00000157168",1985.86867127557,-0.706862299564703,0.0948345587056714,-7.4536361977338,9.08021670477742e-14,2.56476642706898e-11
"ENSG00000185880",468.343093836287,0.833338367628689,0.112375771431154,7.41564090742837,1.21038040230715e-13,3.34605799301634e-11
"ENSG00000170989",280.766359183194,-0.967242689956082,0.131040015372726,-7.381277293084,1.56778092139556e-13,4.2437869816026e-11
"ENSG00000174136",2239.48241809668,-0.527721329138419,0.0736575473029683,-7.16452486488309,7.80568005317987e-13,2.06977961083604e-10
"ENSG00000144802",351.352187239634,0.960354396987486,0.13414524562182,7.15906398721652,8.12297671119364e-13,2.11083672817078e-10
"ENSG00000131016",1836.95927080648,-0.861073583529195,0.120661765361967,-7.13625878873977,9.59053734837135e-13,2.39779604919654e-10
"ENSG00000143322",2934.84487684253,-0.653577318204977,0.0915864980681991,-7.13617544060148,9.59635146295853e-13,2.39779604919654e-10
"ENSG00000176170",1122.52735196889,-0.752331506187239,0.105644242657227,-7.12136778364962,1.06861215514642e-12,2.6197127795882e-10
"ENSG00000135114",536.655506746372,1.15309001477637,0.162999826904717,7.07417938210708,1.50335715559223e-12,3.57131697098619e-10
"ENSG00000106799",3628.45671566631,-0.543717041112116,0.0768677759317704,-7.07340669768736,1.51175581778065e-12,3.57131697098619e-10
"ENSG00000070404",4781.69483182244,-0.469446804020464,0.0664230562609329,-7.06752791043389,1.57718032082329e-12,3.65933998365304e-10
"ENSG00000092140",1228.03509269674,0.577722809782332,0.0822685466099731,7.02240204292483,2.18085901404362e-12,4.92026463743441e-10
"ENSG00000123485",1309.79398980724,0.671221023567407,0.0955963076810435,7.02141159893886,2.19637765697834e-12,4.92026463743441e-10
"ENSG00000073737",378.842568417055,1.09410826176929,0.155960222018954,7.01530331007301,2.29450644546481e-12,5.05296987219055e-10
"ENSG00000173281",327.605459072795,-0.907361215491164,0.131300559796967,-6.91056623744967,4.82722976251744e-12,1.03154551658438e-09
"ENSG00000138496",2946.52538438327,0.527031088020754,0.0762696161419459,6.91010542179592,4.84293669757927e-12,1.03154551658438e-09
"ENSG00000125266",4400.78844834999,-0.539344223487671,0.0786192058171634,-6.86020951091732,6.87596291191596e-12,1.44095784055684e-09
"ENSG00000104228",1454.60752358198,-0.556437031877379,0.0812187974862398,-6.85108680624891,7.32910229037822e-12,1.51154009617277e-09
"ENSG00000130147",2190.75672538883,-0.495717185916249,0.0725370758435676,-6.83398358910008,8.2588476884396e-12,1.67632911468576e-09
"ENSG00000110906",2100.43381629675,-0.484150316455082,0.0708672724855289,-6.83178990067588,8.38616119868963e-12,1.67632911468576e-09
"ENSG00000087494",6501.64180871754,-0.496881981906844,0.0727876333642943,-6.82646156964608,8.70345959920747e-12,1.71339470564398e-09
"ENSG00000105825",1444.02196042521,0.756676615474648,0.110996909334237,6.81709625982578,9.2899022082893e-12,1.80154775212392e-09
"ENSG00000180530",4139.51490130191,-0.505489609557661,0.0744584108792569,-6.78888527956058,1.13003250809533e-11,2.15919299671803e-09
"ENSG00000115267",1635.2568185696,0.561016496308007,0.0828147935634784,6.77435120185359,1.24965773194549e-11,2.35315984219822e-09
"ENSG00000165006",2048.65246548536,-0.515813385881315,0.0771737008105825,-6.68379746550374,2.32828536454936e-11,4.32163024879855e-09
"ENSG00000136542",813.691890590206,0.835013156483388,0.125020271630531,6.67902209452147,2.40541900255024e-11,4.40191677466695e-09
"ENSG00000057657",973.697054878004,0.592652420373802,0.0894448076901162,6.6259007725419,3.45136967233101e-11,6.22828418786068e-09
"ENSG00000183742",3055.75083813318,0.499799375202051,0.0756427213738979,6.60736903860941,3.9120998673765e-11,6.96300185983875e-09
"ENSG00000203326",463.42883972615,0.710263201175344,0.10757802837165,6.6023072919834,4.04807311870072e-11,7.10765054476737e-09
"ENSG00000149591",1582.08707971777,-0.551514803858273,0.0839874938381306,-6.5666300856793,5.14666871953114e-11,8.91608888971575e-09
"ENSG00000140450",1308.56824450475,0.535925434517157,0.0819154520865254,6.54242173932058,6.05305137171813e-11,1.03483284832544e-08
"ENSG00000128272",5432.25562686078,-0.647781641783447,0.0996106175819337,-6.50313849575945,7.86613124324162e-11,1.32733302913556e-08
"ENSG00000159871",692.996820496311,0.837933844353542,0.128964994221792,6.49737434107489,8.1733910119545e-11,1.35091422632211e-08
"ENSG00000205413",2357.54027255009,0.593000909515147,0.0912782103923094,6.49663163822403,8.21382466554661e-11,1.35091422632211e-08
"ENSG00000105127",1191.54818592473,-0.542648973952602,0.0835939084412503,-6.49148944069262,8.49918691121807e-11,1.38037419421821e-08
"ENSG00000184557",386.12920528239,-0.782125772293051,0.120669796217212,-6.481537193327,9.07927795541964e-11,1.45638343796009e-08
